kategoria,kierunek,opis kierunku,rekrutacja,specjalności,program studiów
Studia I stopnia stacjonarne,Polityka Spoleczna,"Polityka społeczna
Chcesz skutecznie rozwiązywać problemy współczesnego świata? Polityka społeczna to kierunek dający wiedzę i umiejętności z zakresu diagnozowania, zapobiegania i rozwiązywania problemów społecznych. Studia na kierunku polityka społeczna pozwalają na zdobycie wysokich kompetencji niezbędnych do wykonywania funkcji, ról i zadań zawodowych z obszaru polityki społecznej. Absolwent zdobywa przygotowanie do pracy w instytucjach administracji rządowej i samorządowej, w przedsiębiorstwach i organizacjach pozarządowych (fundacje i stowarzyszenia) oraz podmiotach ekonomii społecznej. Ważnym segmentem są także agendy public relations oraz CSR.
Wyróżniki:
Studia oferują rzetelną, szeroką wiedzę z kilku dyscyplin oraz zapewniają możliwość rozwoju kompetencji społecznych cenionych na rynku pracy.
Zawody i perspektywy kariery:
praca w instytucjach administracji rządowej i samorządowej, w przedsiębiorstwach i organizacjach pozarządowych (fundacje i stowarzyszenia) oraz podmiotach ekonomii społecznej, a także agendach public relations oraz CSR, specjaliści projektujący i realizujący strategie społeczne i informacyjne.","Polityka społeczna
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku polityka społeczn a s ą:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), albo matematyka , albo wiedza o społeczeństwie , przedmiot nr 2 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika administracji albo technika ekonomisty kandydat na studia pierwszego stopnia na kierunku polityka społeczna może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Polityka społeczna
Na kierunku oferowane są dwie specjalności:
finanse i zarządzanie usługami społecznymi, komunikacja społeczna .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Polityka społeczna
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Rachunkowosc I Finanse Biznesu,"Rachunkowość i finanse biznesu
Pasjonuje Cię świat dużych liczb? Dzięki nam poznasz od praktycznej strony rachunkowość i finanse przedsiębiorstw, nauczysz się księgować operacje gospodarcze, sporządzać sprawozdania finansowe i analizować sytuację firmy, dowiesz się jak obliczać i optymalizować zobowiązania podatkowe. Uzyskasz także niezwykle ważne w biznesie umiejętności miękkie. A gdy założysz swój biznes, będziesz wiedzieć jak zająć się jego finansami.
Wyróżniki:
połączenie nauki z praktyką gospodarczą, wyróżniająca ocena (najwyższa możliwa) przyznana przez Polską Komisję Akredytacyjną, możliwość zdobycia uznawanych na całym świecie kwalifikacji The Chartered Institute of Management Accountants (CIMA) oraz The Association of Chartered Certified Accountants (ACCA).
Zawody i perspektywy kariery:
praca w działach finansowo-księgowych przedsiębiorstw, w firmach audytorskich, w specjalistycznych firmach księgowych, prowadzenie własnych biur rachunkowych, główni księgowi, dyrektorzy finansowi i doradcy finansowi, a po spełnieniu dodatkowych wymaganych prawem warunków – biegli rewidenci i doradcy podatkowi.","Rachunkowość i finanse biznesu
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku rachunkowość i finanse biznesu są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku rachunkowość i finanse biznesu może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Rachunkowość i finanse biznesu
Na kierunku oferowane są trzy specjalności:
finanse i rachunkowość przedsiębiorstw, inwestycje kapitałowe i strategie finansowe przedsiębiorstwa, rachunkowość w środowisku informatycznym.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Rachunkowość i finanse biznesu
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Zarzadzanie,"Zarządzanie
Wybierz kierunek menedżerski i poznaj zasady funkcjonowania i zarządzania współczesnymi firmami! Naucz się osiągać rezultaty pozwalające na konkurowanie na wymagających rynkach!  Zdobądź umiejętności praktycznego wykorzystania narzędzi, metod i technik menedżerskich, a także analizy i diagnozy procesów zachodzących w organizacji i jej otoczeniu.
Mamy dla Ciebie kierunek pokazujący zastosowanie teorii w praktyce biznesowej i odpowiadający na potrzeby rynku pracy kształcąc profesjonalistów – specjalistów  o wysokich kompetencjach, kreatywnych i otwartych na współdziałanie.
Wyróżniki:
kierunek rozwija kompetencje niezbędne do podjęcia pracy zawodowej na stanowiskach specjalistycznych oraz kierowniczych, doradców w przedsiębiorstwach, instytucjach non-profit czy w administracji samorządowej i rządowej, a także do prowadzenia własnej działalności gospodarczej.
Zawody i perspektywy kariery:
przedsiębiorcy prowadzący własną działalność gospodarczą, HR business partnerzy, menedżerowie zarządzający wybraną dziedziną przedsiębiorstwa, project menedżerowie, project developerzy, specjaliści ds. marketingu w firmach produkcyjnych, handlowych i usługowych, analitycy ds. mediów, rzeczoznawcy majątkowi, specjaliści ds. zarządzania majątkiem trwałym i inwestycjami.","Zarządzanie
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku zarządzanie są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika administracji albo technika ekonomisty , albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku zarządzanie może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Zarządzanie
Wybierając studia na kierunku zarządzanie , który ma charakter biznesowy, student będzie miał możliwość poznania zasad funkcjonowania i zarządzania współczesnymi organizacjami w zakresie kilku specjalności:
handel i marketing , komunikacja w biznesie , konsulting gospodarczy , z arządzanie inwestycjami i nieruchomościami , zarządzanie przedsiębiorstwami, zarządzanie projektami, zarządzania zasobami ludzkimi .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Zarządzanie
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Zarzadzanie I Inzynieria Produkcji,"Zarządzanie i inżynieria produkcji – studia inżynierskie
Lubisz podejmować decyzje i organizować procesy tak, aby wszystko działało sprawnie i efektywnie? Na kierunku zarządzanie i inżynieria produkcji rozwiniesz swoje umiejętności menedżerskie i nabędziesz kluczowe kompetencje inżynierskie, które są przydatne także w świecie biznesu. Zdobywając poszukiwane w różnych branżach uniwersalne kwalifikacje, nauczysz się zarządzać procesami, stosując standardy jakości, wymogi bezpieczeństwa, z zachowaniem dbałości o środowisko a także będziesz potrafić przeprowadzać analizy zysków i strat podejmowanych działań.
Wyróżniki:
ścisła integracja wiedzy i umiejętności – duża liczba zajęć praktycznych rozwijających umiejętności menedżerskie oraz kwalifikacje inżynierskie powiązane z różnymi procesami wytwórczymi oraz usługowymi, zadaniowość i efektywność – orientacja na zdobywanie technicznych umiejętności, uczenie się “konstruktywnego działania” a także efektywnego zarządzania procesami i systemami z wykorzystaniem standardów i nowoczesnych rozwiązań organizacyjnych, współpraca z praktyką gospodarczą – realizacja zajęć przygotowanych we współpracy z biznesem, możliwość rozwijania zainteresowań i prowadzenia badań w kołach naukowych, pogłębiania kompetencji związanych ze zrównoważonym rozwojem i społeczną odpowiedzialnością biznesu.
Zawody i perspektywy kariery:
Kończąc studia na kierunku zarządzanie i inżynieria produkcji możesz zostać: specjalistą ds. zarządzania jakością, środowiskiem i bezpieczeństwem, koordynatorem produkcji, specjalistą ds. zarządzania i inżynierii produkcji.","Zarządzanie i inżynieria produkcji
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku zarządzanie i inżynieria produkcji są:
przedmiot nr 1 (do wyboru przez kandydata) – biologia albo chemia , albo fizyka, albo geografia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), albo matematyka, przedmiot nr 2 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika bezpieczeństwa i higieny pracy albo technika ekonomisty , albo technika logistyka, albo technika ochrony środowiska , albo technika procesów drukowania , albo technika technologii chemicznej, albo technika technologii żywności kandydat na studia pierwszego stopnia na kierunku zarządzanie i inżynieria produkcji może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Zarządzanie i inżynieria produkcji
Na kierunku zarządzanie i inżynieria produkcji nie są oferowane specjalności.","Zarządzanie i inżynieria produkcji
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Ekonomia,"Marzysz o studiach, podczas których zrozumiesz zjawiska gospodarcze i nauczysz się przewidywania ich konsekwencji, tak by budować dla firmy skuteczne strategie konkurencji i wychodzić z rozwiązaniami zapewniającymi jej rynkowy sukces? Interesuje Cię zarządzanie ludźmi, praca w agencjach PR i mediach? Mamy kierunek dla Ciebie! Na studiach na kierunku ekonomia uzyskasz rzetelną wiedzę, praktyczne umiejętności i szeroki zakres kompetencji społecznych. Wysokie kwalifikacje absolwentów ekonomii od lat są doceniane przez pracodawców. Absolwent ma szerokie możliwości zatrudnienia.
Wyróżnik:
studia umożliwiające realizację kariery zawodowej w szerokiej gamie zawodów i stanowisk pracy.
Zawody i perspektywy kariery:
menedżerowie, analitycy ekonomiczni, doradcy ekonomiczni, specjaliści w działach ekonomicznych, specjaliści ds. obsługi środków UE, analiz rynkowych, personalnych w prywatnych firmach, organach administracji samorządowej i rządowej, instytucjach UE, właściciele firm.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku ekonomia są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku ekonomia może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","W ofercie są dwie specjalności:
ekonomia globalna i menedżerska , strategie biznesu i polityka gospodarcza w warunkach globalizacji.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Finanse Audyt Inwestycje,"Finanse, audyt, inwestycje
Chcesz mieć pewność, że zdobędziesz dobrze płatną i perspektywiczną pracę? Zdecyduj się na kierunek, na którym zgłębisz tajniki analizy finansowej, bankowości, ubezpieczeń i całego sektora pośrednictwa finansowego, podatków i finansów publicznych, rachunkowości i audytu oraz inwestycji finansowych!
U nas uzyskasz wiedzę o rynkach finansowych, instytucjach finansowych (bankach, funduszach inwestycyjnych, giełdach) oraz strefie budżetowej. Zdobędziesz też umiejętności związane z finansowymi i rachunkowymi aspektami funkcjonowania przedsiębiorstw, instytucji i podmiotów sektora publicznego.
Wyróżniki:
praktyczne zajęcia prowadzone przez specjalistów z finansów, wszechstronna wiedza o rynkach, instytucjach finansowych oraz finansach osobistych.
Zawody i perspektywy kariery:
analitycy rynków finansowych, analitycy kredytowi, brokerzy ubezpieczeniowi, doradcy podatkowi, główni księgowi, traderzy.","Finanse, audyt, inwestycje
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku finanse, audyt, inwestycje są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku finanse, audyt, inwestycje może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","Finanse, audyt, inwestycje
Na kierunku oferowane są cztery specjalności:
bankowość i pośrednictwo finansowe, finanse, audyt i podatki, kontrola finansowa i rachunkowość, ubezpieczenia i zarządzanie ryzykiem.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Finanse, audyt, inwestycje
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Informatyka I Analityka Danych,"Informatyka i analityka danych (dawniej Informatyka i ekonometria) Twoja pasja to nowoczesne technologie i informatyka? U nas nauczysz się je stosować w ekonomii, finansach i biznesie! To unikalne kompetencje cenione na rynku pracy.  Po tym kierunku to nie Ty szukasz pracy. To praca szuka Ciebie! Wyróżniki: zgłębisz tajniki analizy danych, modelowania, prognozowania i zarządzania ryzykiem, nauczysz się programowania i obsługi systemów informatycznych, nie będą Ci obce problemy z zakresu Data science, Big data, uczenia maszynowego, sztucznej inteligencji, wirtualnej rzeczywistości. Zawody i perspektywy kariery: analitycy finansowi i gospodarczy, menedżerowie zarządzający ryzykiem lub portfelem inwestycji, projektanci rozwiązań informatycznych dla biznesu lub serwisów internetowych i usług sieciowych.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku informatyka i analityka danych są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia , albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika informatyka , albo technika programisty , albo technika rachunkowości, albo technika teleinformatyka, albo technika tyfloinformatyka kandydat na studia pierwszego stopnia na kierunku informatyka i analityka danych może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku informatyka i analityka danych nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Jakosc I Rozwoj Produktu,"Jakość i rozwój produktu
Niestacjonarne studia licencjackie na kierunku jakość i rozwój produktu umożliwiają nabycie kompetencji w obszarach niezbędnych do kształtowania i oceny jakości produktów oraz procesów związanych z ich cyklem życia zgodnie ze zdefiniowanymi wymaganiami rynkowymi oraz zasadami zrównoważonego rozwoju.
Program studiów obejmuje między innymi przedmioty z zakresu kształtowania jakości produktów, marketingu produktu, zarządzania jakością oraz oceną wpływu na środowisko. Studenci potrafią identyfikować potrzeby i preferencje uczestników rynku, wykorzystywać nowoczesne instrumenty komunikacji marketingowej w kształtowaniu relacji z otoczeniem, oceniać jakość i bezpieczeństwo produktów, analizować ich cykl życia oraz wpływ na środowisko, a także wykorzystują narzędzia związane z systemowym zarządzaniem jakością, środowiskiem i bezpieczeństwem.","Jakość i rozwój produktu
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku jakość i rozwój produktu są:
przedmiot nr 1 (do wyboru przez kandydata) – biologia albo chemia , albo fizyka, albo geografia, albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), albo matematyka, przedmiot nr 2 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika agrobiznesu albo technika ekonomisty, albo technika handlowca, albo technika reklamy, albo technika technologii żywności, albo technika żywienia i usług gastronomicznych kandydat na studia pierwszego stopnia na kierunku jakość i rozwój produktu może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","Jakość i rozwój produktu
Na kierunku jakość i rozwój produktu nie są oferowane specjalności.","Jakość i rozwój produktu
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Logistyka,"Chcesz w przyszłości zajmować się zarządzaniem procesami logistycznym lub ich projektowaniem? U nas nauczysz się jak to zrobić. Kierunek stworzyliśmy w oparciu o współczesne trendy na rynku usług logistycznych, wykorzystując doświadczenie i wiedzę naszego kilkunastoosobowego zespołu naukowo-dydaktycznego. W ramach kształcenia na kierunku logistyka skupiamy się na analizie problematyki z zakresu m.in. globalnych łańcuchów dostaw, problemów współczesnej logistyki w przedsiębiorstwach, problemach magazynowania czy transportu, systemów informatycznych wspierających zarządzanie logistyką.
Wyróżniki:
kształcimy w oparciu o autorski program, opracowany na bazie wieloletniego doświadczenia, zajęcia teoretyczne uzupełniamy wiedzą biznesową i spotkaniami z praktykami, wykorzystujemy branżowe narzędzia informatyczne jak Goldrath czy Flexsim, nie są nam obce nowoczesne technologie w transporcie czy magazynowaniu, a także tematy związane z Logistyką 4.0.
Zawody i perspektywy kariery:
praca na stanowiskach specjalistów i menedżerów w działach logistycznych przedsiębiorstw produkcyjnych i handlowych, przedsiębiorstwach z branży: transport, spedycja i logistyka oraz w firmach konsultingowych z obszaru logistyki i zarządzania łańcuchami dostaw.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku logistyka są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika logistyka albo technika usług pocztowych i finansowych albo technika spedytora kandydat na studia pierwszego stopnia na kierunku logistyka może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku logistyka nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia niestacjonarne,Miedzynarodowe Stosunki Gospodarcze,"Międzynarodowe stosunki gospodarcze
Marzysz o pracy w międzynarodowych korporacjach albo w organizacjach międzynarodowych? Wybierz kierunek odpowiadający współczesnym potrzebom gospodarki światowej i krajowej. Przygotowujemy do prowadzenia międzynarodowej działalności gospodarczej w duchu zrównoważonego rozwoju, z umiejętnością posługiwania się narzędziami IT. Zapewniamy rozwój kreatywności i analitycznego myślenia dzięki pracy w zespołach projektowych i wykładom praktyków biznesu.
Wyróżniki:
wiedza menedżerska uwzględniająca transformację klimatyczną i cyfrową, zajęcia prowadzone w oparciu o materiały z Harvard Business School.
Zawody i perspektywy kariery:
menedżerowie, konsultanci, specjaliści prowadzący międzynarodową działalność gospodarczą, specjaliści i kadra zarządzająca w administracji publicznej i organizacjach międzynarodowych.","Międzynarodowe stosunki gospodarc ze
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku międzynarodowe stosunki gospodarcze są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika hotelarstwa kandydat na studia pierwszego stopnia na kierunku międzynarodowe stosunki gospodarcze może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE","Międzynarodowe stosunki gospodarcze
Na kierunku oferowane są dwie specjalności:
biznes międzynarodowy, zrównoważona gospodarka światowa.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Międzynarodowe stosunki gospodarcze
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
